employee_id,survey_date,department,tenure_years,performance_rating,engagement_score,feedback_comment,feedback_category,sentiment,summary
E082,01-01-2019,Engineering,0.71,3,25,"I appreciate the recent salary increase, but the bonus structure still feels unclear.",Compensation,Neutral,Salary raise appreciated; bonus structure remains unclear.
E083,01-01-2019,HR,0.64,2,25,The quarterly career development workshops have been incredibly useful for my growth.,Career growth,Positive,Quarterly workshops greatly support professional growth.
E084,01-01-2019,Sales,0.82,5,25,"Management often misses the mark on communication, leaving many projects unclear.",Management,Negative,"Management communication frequently unclear, causing project confusion."
E085,01-01-2019,Operations,0.34,3,25,"The team culture is collaborative and welcoming, which boosts daily motivation.",Culture,Positive,"Collaborative, welcoming culture boosts daily motivation."
E086,01-01-2019,Operations,0.62,1,25,"I feel the workload has increased recently, making it hard to balance personal commitments.",Work-life balance,Negative,Increased workload hampers personal commitment balance.
E087,01-01-2019,Engineering,0.67,3,25,"Mentorship opportunities are scarce, hindering my professional advancement.",Career growth,Negative,Scarce mentorship hinders professional advancement.
E088,01-01-2019,Operations,0.44,4,25,"The new project management tools streamline tasks, improving overall efficiency.",Management,Positive,"New tools streamline tasks, boost efficiency."
E089,01-01-2019,Sales,0.59,5,25,"I enjoy the inclusive culture, but sometimes decision-making is too slow.",Culture,Neutral,Inclusive culture appreciated; decision-making sometimes slow.
E090,01-01-2019,Sales,0.6,3,25,"Compensation aligns with industry standards, which keeps me satisfied.",Compensation,Positive,"Compensation matches industry standards, keeping satisfaction."
E091,01-01-2019,HR,0.69,1,25,Work-life balance is threatened by frequent after-hours meetings.,Work-life balance,Negative,After-hours meetings harm work-life balance.
E092,01-01-2019,Marketing,0.87,2,25,"Career growth paths are well defined, but promotions are rarely discussed openly.",Career growth,Negative,"Defined growth paths, but promotions lack transparency."
E093,01-01-2019,HR,0.57,3,25,Management’s feedback sessions are constructive and timely.,Management,Positive,Feedback sessions are constructive and timely.
E094,01-01-2019,Marketing,0.43,3,25,The office environment feels stale; a few décor updates would lift morale.,Culture,Negative,Stale office environment needs décor updates.
E095,01-01-2019,Marketing,0.59,3,25,"I’m grateful for the generous vacation policy, it really supports my well-being.",Work-life balance,Positive,Generous vacation policy supports employee well-being.
E096,01-01-2019,Finance,0.5,4,25,"The workload distribution is uneven, causing some team members to feel overworked.",Management,Negative,Uneven workload distribution leads to overworked staff.
E097,01-01-2019,Sales,0.86,3,25,"Professional development budgets are insufficient, limiting skill-building opportunities.",Career growth,Negative,Insufficient development budgets limit skill-building opportunities.
E098,01-01-2019,Sales,0.4,1,25,Management’s transparency during company changes has been exemplary.,Management,Positive,Management shows exemplary transparency during changes.
E099,01-01-2019,Engineering,0.42,4,25,"The workplace culture promotes innovation, yet risk-taking is still discouraged.",Culture,Neutral,Culture encourages innovation but discourages risk-taking.
E100,01-01-2019,Finance,0.63,1,25,I feel the compensation package is below the market average for my role.,Compensation,Negative,Compensation package below market average for role.
E032,01-01-2020,Operations,1.79,2.4,48,I appreciate the opportunities provided for career growth and development.,Career growth,Positive,Appreciates opportunities for career growth
E035,01-01-2020,Engineering,1.95,1.4,29,Management has been very supportive and understanding of our needs.,Management,Positive,Management supportive and understanding of needs
E027,01-01-2020,Operations,1.46,4.4,90,"The company culture is amazing, it feels like a big family.",Culture,Positive,"Company culture amazing, feels like family"
E047,01-01-2020,Sales,1.58,2,39,I feel underpaid considering the amount of work I'm doing.,Compensation,Negative,Feels underpaid relative to workload
E033,01-01-2020,Finance,1.38,2.8,55,The flexible working hours have greatly improved my work-life balance.,Work-life balance,Positive,Flexible hours greatly improve work-life balance
E073,01-01-2020,Sales,1.58,4.1,77,I'm excited about the new projects that will help me grow professionally.,Career growth,Positive,Excited about projects aiding professional growth
E016,01-01-2020,Sales,1.88,3.7,79,"Sometimes I feel micromanaged, which can be frustrating.",Management,Negative,"Feels micromanaged, causing frustration at work"
E098,01-01-2020,Sales,1.4,1.4,33,The team-building activities have really helped to boost company culture.,Culture,Positive,Team-building activities boost company culture
E065,01-01-2020,Engineering,1.5,1.9,41,"The compensation package is great, but could be better.",Compensation,Neutral,Compensation package good but could improve
E030,01-01-2020,Finance,1.38,2,40,"I love the fact that I can work from home when needed, great work-life balance.",Work-life balance,Positive,"Loves remote work, great work-life balance"
E048,01-01-2020,HR,1.75,4.9,93,Career growth opportunities are limited in my current role.,Career growth,Negative,Limited career growth opportunities in current role
E055,01-01-2020,HR,1.62,1.8,37,My manager is always available to discuss any issues or concerns.,Management,Positive,Manager always available for issues and concerns
E066,01-01-2020,Engineering,1.59,2.8,59,The company culture can be improved by having more open communication.,Culture,Negative,Culture needs improvement through more open communication
E076,01-01-2020,Operations,1.37,4.4,86,"I'm happy with my salary, but benefits could be improved.",Compensation,Neutral,Satisfied with salary; benefits need improvement
E095,01-01-2020,Marketing,1.59,2.9,57,"The company prioritizes work-life balance, which is great.",Work-life balance,Positive,"Company prioritizes work-life balance, which is great"
E009,01-01-2020,Sales,1.74,1.6,29,"There's a lack of transparency in decision-making, which can be frustrating.",Management,Negative,Lack of decision-making transparency causes frustration
E011,01-01-2020,Operations,1.87,3.1,61,"I've learned so much since joining the company, great career growth.",Career growth,Positive,Significant learning and great career growth experienced
E062,01-01-2020,Operations,1.91,3.4,63,"The office environment is great, it's comfortable and convenient.",Culture,Positive,"Office environment is comfortable, convenient, and great"
E007,01-01-2020,Engineering,2,1,17,I wish there were more opportunities for professional development.,Career growth,Negative,Desire more professional development opportunities
E017,01-01-2020,HR,1.67,4.7,95,The flexible hours have greatly improved my work-life balance.,Work-life balance,Positive,Flexible hours greatly improve work-life balance
E053,01-01-2020,Finance,1.78,2.4,52,I feel my career growth is stagnant due to limited training opportunities.,Career growth,Negative,Career growth stagnant due to limited training.
E087,01-01-2020,Engineering,1.67,2.9,57,Management communicates decisions clearly and supports the team.,Management,Positive,Management communicates clearly and supports team.
E025,01-01-2020,Finance,1.92,4.1,77,"The office culture feels inclusive, but occasional cliques persist.",Culture,Neutral,Culture inclusive yet occasional cliques persist.
E081,01-01-2020,Finance,1.48,3.6,73,"Recent salary adjustments were below market rates, causing concern.",Compensation,Negative,Salary adjustments below market rates causing concern.
E063,01-01-2020,HR,1.8,3.1,61,Heavy workload during peak season is affecting my personal time.,Work-life balance,Negative,Heavy workload during peak season impacts personal time.
E020,01-01-2020,Marketing,1.38,2.2,45,I appreciate the mentorship program that accelerates my professional development.,Career growth,Positive,Mentorship program accelerates professional development.
E067,01-01-2020,Sales,1.86,4.7,90,There is a lack of transparency from leadership about strategic goals.,Management,Negative,Leadership lacks transparency about strategic goals.
E069,01-01-2020,Sales,1.37,4.2,85,Team events foster a positive culture and boost morale.,Culture,Positive,Team events foster positive culture and boost morale.
E089,01-01-2020,Sales,1.59,4.8,94,"Compensation packages are competitive, especially the bonus structure.",Compensation,Positive,"Compensation packages competitive, especially bonus structure."
E092,01-01-2020,Marketing,1.87,2.2,39,Frequent after-hours emails make it hard to disconnect.,Work-life balance,Negative,After-hours emails hinder disconnecting from work.
E014,01-01-2020,Operations,1.43,3.3,71,Opportunities for promotion are clear and based on merit.,Career growth,Positive,Promotion opportunities are clear and merit-based.
E019,01-01-2020,Finance,1.65,1.3,25,Management often overlooks employee feedback in decision making.,Management,Negative,Management frequently ignores employee feedback.
E070,01-01-2020,HR,1.41,5,100,The collaborative environment encourages knowledge sharing.,Culture,Positive,Collaborative environment promotes knowledge sharing.
E057,01-01-2020,Sales,1.68,2.3,47,Salary increments have been inconsistent across departments.,Compensation,Negative,Salary increments inconsistent across different departments.
E072,01-01-2020,HR,1.74,2.7,54,Remote work options have helped maintain a healthy work-life balance.,Work-life balance,Positive,Remote work supports healthy work-life balance.
E082,01-01-2020,Engineering,1.71,2.7,59,Career advancement pathways are unclear and need better outlining.,Career growth,Negative,Career advancement pathways lack clarity and detail.
E083,01-01-2020,HR,1.64,2,42,Leadership recognizes and rewards high performers regularly.,Management,Positive,Leadership regularly recognizes and rewards high performers.
E013,01-01-2020,Finance,1.57,2.8,54,The company culture prioritizes work over personal well-being.,Culture,Negative,Culture prioritizes work over personal well-being.
E059,01-01-2020,Engineering,1.34,2.9,63,"Benefits are generous, but the health plan could be more comprehensive.",Compensation,Neutral,"Generous benefits, but health plan lacks comprehensiveness."
E061,01-01-2020,Operations,1.92,3.7,73,The recent shift to a four-day workweek has improved my overall work-life balance.,Work-life balance,Positive,Four-day workweek improves overall work-life balance.
E034,01-01-2020,Engineering,1.57,2,38,I appreciate the mentorship program; it's clear the company is invested in my career growth.,Career growth,Positive,Mentorship program shows company supports growth.
E031,01-01-2020,Sales,1.49,1.3,30,Management's decision to cut the budget without consulting the team left many of us feeling undervalued.,Management,Negative,Budget cut decision made without team consultation.
E037,01-01-2020,Finance,1.92,4,78,The open-door policy at this company has fostered a strong sense of trust and collaboration.,Culture,Positive,Open-door policy builds trust and collaboration.
E096,01-01-2020,Finance,1.5,3.9,80,I feel my salary is below the market rate for my role and responsibilities.,Compensation,Negative,Salary perceived as below market rate.
E079,01-01-2020,Sales,1.75,5,100,Flexible working hours have helped me manage my personal commitments more effectively.,Work-life balance,Positive,Flexible hours improve personal commitment management.
E018,01-01-2020,Sales,1.38,2.4,52,"The quarterly performance reviews are thorough, but the feedback often feels vague and hard to act on.",Management,Neutral,Reviews thorough but feedback vague and unhelpful.
E036,01-01-2020,Finance,1.67,2.2,39,I love how diverse and inclusive our workplace culture is; it makes every day enjoyable.,Culture,Positive,"Diverse, inclusive culture makes work enjoyable."
E052,01-01-2020,Sales,1.98,3.8,71,"The bonus structure is unclear, making it difficult to understand how to achieve higher payouts.",Compensation,Negative,"Bonus structure unclear, hard to achieve payouts."
E008,01-01-2020,Marketing,1.46,4.2,82,The team-building retreats have genuinely strengthened our cross-department relationships.,Culture,Positive,Team-building retreats strengthen cross-department relationships.
E038,01-01-2020,Sales,1.56,4.2,83,I’m concerned that the workload keeps increasing with no additional support or resources.,Work-life balance,Negative,Increasing workload lacks support and resources.
E006,01-01-2020,Engineering,1.76,4,80,The professional development stipend has allowed me to attend a conference that expanded my skill set.,Career growth,Positive,"Stipend enabled conference attendance, expanding skill set."
E050,01-01-2020,Finance,1.74,1.5,34,The lack of communication from senior leaders has led to uncertainty about upcoming projects.,Management,Negative,Poor senior communication creates project uncertainty.
E056,01-01-2020,Finance,1.89,4.1,77,"Our office environment encourages collaboration and creativity, which keeps me motivated.",Culture,Positive,"Collaborative, creative office environment boosts motivation."
E080,01-01-2020,HR,1.53,2.9,60,I would like to see a more transparent compensation review process to align with my performance.,Compensation,Negative,Desire for transparent compensation review process.
E003,01-01-2020,Engineering,1.5,1,22,The company’s commitment to mental health resources has made a noticeable difference in employee well-being.,Work-life balance,Positive,Mental health resources improve employee well‑being noticeably.
E078,01-01-2020,Sales,1.33,2.5,53,The recent restructuring has caused confusion and a sense of instability among the staff.,Management,Negative,Restructuring caused staff confusion and instability.
E099,01-01-2020,Engineering,1.42,4,80,I appreciate the recognition program; being acknowledged for my contributions boosts morale.,Culture,Positive,Recognition program boosts morale through acknowledgment.
E026,01-01-2020,HR,1.59,1.5,31,"The benefits package is comprehensive, but the health insurance options could be more competitive.",Compensation,Neutral,"Comprehensive benefits, but health insurance needs improvement."
E090,01-01-2020,Sales,1.6,2.7,51,I'm grateful for the opportunities I've had for career growth here.,Career growth,Positive,Grateful for career growth opportunities provided.
E045,01-01-2020,Finance,1.76,1.7,39,Management has been very supportive of my ideas and initiatives.,Management,Positive,Management supportive of ideas and initiatives.
E022,01-01-2020,Operations,1.67,1.2,21,I feel underpaid compared to the value I bring to the company.,Compensation,Negative,Feels underpaid relative to contribution.
E084,01-01-2020,Sales,1.82,5,98,The new flexible hours policy has greatly improved my work-life balance.,Work-life balance,Positive,Flexible hours greatly improved work-life balance.
E015,01-01-2020,Marketing,1.75,2.2,44,"I've learned so much from my colleagues, it's a great team to be part of.",Culture,Positive,Learned a lot; great collaborative team environment.
E051,01-01-2020,Sales,1.86,3.8,78,There's a lack of transparency in communication from upper management.,Management,Negative,Lack of transparency from upper management communication.
E064,01-01-2020,Operations,1.53,2,42,The company's mission and values truly resonate with me.,Culture,Positive,Company mission and values strongly resonate personally.
E071,01-01-2020,Marketing,1.95,2.4,46,Career advancement opportunities are limited in my current role.,Career growth,Negative,Limited career advancement opportunities in current role.
E093,01-01-2020,HR,1.57,3.1,59,The office environment is comfortable and conducive to productivity.,Culture,Positive,Office environment comfortable and conducive to productivity.
E023,01-01-2020,Operations,1.88,3.8,72,I think the company could do more to recognize and reward employees' achievements.,Compensation,Negative,Company should better recognize and reward employee achievements.
E088,01-01-2020,Operations,1.44,4.4,88,I've been able to achieve a great balance between work and personal life.,Work-life balance,Positive,Achieved great balance between work and personal life.
E021,01-01-2020,Engineering,1.78,3.4,67,The pay scale is not competitive with other companies in the industry.,Compensation,Negative,Pay scale not competitive compared to industry peers.
E043,01-01-2020,Sales,1.95,4.2,81,I appreciate the autonomy I've been given to make decisions in my role.,Management,Positive,Values autonomy and decision-making freedom.
E085,01-01-2020,Operations,1.34,2.8,55,"Sometimes I feel like I'm just a cog in a machine, not a valued employee.",Culture,Negative,"Feels like an unvalued, replaceable employee."
E024,01-01-2020,Operations,1.97,5,100,"The company prioritizes employee well-being, which is really important to me.",Work-life balance,Positive,Appreciates company focus on employee well-being.
E068,01-01-2020,Marketing,1.94,3.8,76,I wish there were more opportunities for professional development and training.,Career growth,Negative,Desires more professional development and training opportunities.
E039,01-01-2020,Sales,1.88,3.5,73,The team I work with is very collaborative and helpful.,Culture,Positive,Team is collaborative and helpful.
E060,01-01-2020,Sales,1.46,4.3,86,I feel there are limited opportunities for promotion within the company.,Career growth,Negative,Limited promotion opportunities within the company.
E074,01-01-2020,Marketing,1.75,4,76,Management communicates clearly and supports our team goals.,Management,Positive,Management communicates clearly and supports team goals.
E004,01-01-2020,HR,1.85,3.3,66,The recent salary adjustments were disappointing and below market rates.,Compensation,Negative,Salary adjustments disappointing and below market rates.
E086,01-01-2020,Operations,1.62,1.2,21,Our office culture fosters collaboration and inclusivity.,Culture,Positive,Office culture fosters collaboration and inclusivity.
E005,01-01-2020,Engineering,1.63,1.3,22,Workload spikes during project deadlines make it hard to maintain personal time.,Work-life balance,Negative,Workload spikes hinder personal time during deadlines.
E101,01-01-2020,Engineering,0.68,3,64,I appreciate the mentorship programs that aid my career growth.,Career growth,Positive,Mentorship programs positively support career growth
E102,01-01-2020,Operations,0.54,3.5,73,There is a lack of transparency from leadership on strategic decisions.,Management,Negative,Leadership lacks transparency on strategic decisions
E103,01-01-2020,Finance,0.4,2.6,48,The benefits package is competitive and meets my family’s needs.,Compensation,Positive,Benefits package competitive and meets family needs
E104,01-01-2020,Engineering,0.9,4.2,86,"Team meetings often run over time, affecting my ability to finish tasks.",Work-life balance,Negative,"Meetings run over time, hindering task completion"
E105,01-01-2020,HR,0.47,3.3,65,The company's commitment to diversity makes me proud to work here.,Culture,Positive,Company's diversity commitment fosters pride at work
E106,01-01-2020,Engineering,0.31,2.7,55,I would like more structured feedback to help advance my skills.,Career growth,Negative,Desires more structured feedback for skill advancement
E107,01-01-2020,Sales,0.9,4,76,Compensation has remained stagnant despite increased responsibilities.,Compensation,Negative,Compensation stagnant despite increased responsibilities
E108,01-01-2020,Operations,0.36,2.9,59,The manager’s open-door policy encourages honest dialogue.,Management,Positive,Open-door policy encourages honest dialogue
E109,01-01-2020,Engineering,0.75,3.2,67,Remote work options have positively impacted my overall satisfaction.,Work-life balance,Positive,Remote work improves overall satisfaction
E110,01-01-2020,Finance,0.34,2.2,40,"Career progression paths are unclear, causing uncertainty about the future.",Career growth,Negative,Unclear career progression creates future uncertainty
E111,01-01-2020,Engineering,0.34,2.9,59,The workplace environment feels supportive and motivating.,Culture,Positive,Supportive and motivating workplace environment.
E112,01-01-2020,Engineering,0.99,4.4,84,Frequent last‑minute changes in project scope create stress.,Management,Negative,Last-minute scope changes cause stress.
E113,01-01-2020,Engineering,0.85,3.8,72,Recognition for good performance is timely and appreciated.,Culture,Positive,Timely recognition of good performance appreciated.
E114,01-01-2020,Sales,0.57,3.2,61,The current bonus structure does not reflect the effort put in.,Compensation,Negative,Bonus structure doesn't reflect employee effort.
