employee_id,survey_date,department,tenure_years,performance_rating,engagement_score,feedback_comment
E054,2019-01-01,Marketing,0.96,3.0,25,"I enjoy the social events and team-building activities, they help to create a sense of community."
E055,2019-01-01,HR,0.62,2.0,25,"The salary increase was not as expected, it was lower than industry standards."
E056,2019-01-01,Finance,0.89,4.0,25,I have learned a lot from my colleagues and the company provides great training and development programs.
E057,2019-01-01,Sales,0.68,2.0,25,"The company culture is not very diverse and inclusive, it needs to improve."
E058,2019-01-01,HR,0.68,3.0,25,"The compensation and benefits are great, but the work can be stressful at times."
E059,2019-01-01,Engineering,0.34,3.0,25,I feel that my ideas and suggestions are not being heard or considered by management.
E060,2019-01-01,Sales,0.46,4.0,25,The company provides a great work environment and resources to help employees succeed.
E061,2019-01-01,Operations,0.92,4.0,25,The flexible remote schedule has greatly improved my work-life balance.
E062,2019-01-01,Operations,0.91,3.0,25,"Opportunities for skill development feel limited, making career growth uncertain."
E063,2019-01-01,HR,0.8,3.0,25,"Management consistently communicates clear goals, which keeps the team aligned."
E064,2019-01-01,Operations,0.53,2.0,25,"The office culture is inclusive, but occasional cliques still emerge."
E065,2019-01-01,Engineering,0.5,2.0,25,Recent salary adjustments haven't kept pace with market rates.
E066,2019-01-01,Engineering,0.59,3.0,25,I appreciate the generous vacation policy that supports personal time.
E067,2019-01-01,Sales,0.86,5.0,25,"Career progression paths are vague, leaving many employees unsure about the future."
E068,2019-01-01,Marketing,0.94,4.0,25,"Leadership is approachable and open to feedback, fostering a supportive environment."
E069,2019-01-01,Sales,0.37,4.0,25,There is a noticeable lack of recognition for overtime work.
E070,2019-01-01,HR,0.41,5.0,25,The company's wellness programs have positively impacted my daily routine.
E071,2019-01-01,Marketing,0.95,2.0,25,Training resources are available but not always relevant to current projects.
E072,2019-01-01,HR,0.74,3.0,25,Managers provide constructive feedback that helps me improve my performance.
E073,2019-01-01,Sales,0.58,4.0,25,"Team outings are fun, yet they sometimes interfere with project deadlines."
E074,2019-01-01,Marketing,0.75,4.0,25,Compensation packages could be more transparent regarding bonus calculations.
E075,2019-01-01,Engineering,0.62,4.0,25,The balance between meetings and focused work time feels just right.
E076,2019-01-01,Operations,0.37,4.0,25,I feel stuck in my current role with minimal chances for advancement.
E077,2019-01-01,Finance,0.68,3.0,25,Senior leadership demonstrates a genuine commitment to employee well-being.
E078,2019-01-01,Sales,0.33,2.0,25,"The office environment is noisy, which hampers concentration."
E079,2019-01-01,Sales,0.75,5.0,25,Performance reviews are fair and highlight both strengths and areas for growth.
E080,2019-01-01,HR,0.53,3.0,25,There is a need for clearer communication about company-wide strategic changes.
E081,2019-01-01,Finance,0.48,4.0,25,The flexible hours policy really helps me maintain a healthy work-life balance.
E082,2019-01-01,Engineering,0.71,3.0,25,"I appreciate the recent salary increase, but the bonus structure still feels unclear."
E083,2019-01-01,HR,0.64,2.0,25,The quarterly career development workshops have been incredibly useful for my growth.
E084,2019-01-01,Sales,0.82,5.0,25,"Management often misses the mark on communication, leaving many projects unclear."
E085,2019-01-01,Operations,0.34,3.0,25,"The team culture is collaborative and welcoming, which boosts daily motivation."
E086,2019-01-01,Operations,0.62,1.0,25,"I feel the workload has increased recently, making it hard to balance personal commitments."
E087,2019-01-01,Engineering,0.67,3.0,25,"Mentorship opportunities are scarce, hindering my professional advancement."
E088,2019-01-01,Operations,0.44,4.0,25,"The new project management tools streamline tasks, improving overall efficiency."
E089,2019-01-01,Sales,0.59,5.0,25,"I enjoy the inclusive culture, but sometimes decision-making is too slow."
E090,2019-01-01,Sales,0.6,3.0,25,"Compensation aligns with industry standards, which keeps me satisfied."
E091,2019-01-01,HR,0.69,1.0,25,Work-life balance is threatened by frequent after-hours meetings.
E092,2019-01-01,Marketing,0.87,2.0,25,"Career growth paths are well defined, but promotions are rarely discussed openly."
E093,2019-01-01,HR,0.57,3.0,25,Management’s feedback sessions are constructive and timely.
E094,2019-01-01,Marketing,0.43,3.0,25,The office environment feels stale; a few décor updates would lift morale.
E095,2019-01-01,Marketing,0.59,3.0,25,"I’m grateful for the generous vacation policy, it really supports my well-being."
E096,2019-01-01,Finance,0.5,4.0,25,"The workload distribution is uneven, causing some team members to feel overworked."
E097,2019-01-01,Sales,0.86,3.0,25,"Professional development budgets are insufficient, limiting skill-building opportunities."
E098,2019-01-01,Sales,0.4,1.0,25,Management’s transparency during company changes has been exemplary.
E099,2019-01-01,Engineering,0.42,4.0,25,"The workplace culture promotes innovation, yet risk-taking is still discouraged."
E100,2019-01-01,Finance,0.63,1.0,25,I feel the compensation package is below the market average for my role.
E032,2020-01-01,Operations,1.79,2.4,48,I appreciate the opportunities provided for career growth and development.
E035,2020-01-01,Engineering,1.95,1.4,29,Management has been very supportive and understanding of our needs.
E027,2020-01-01,Operations,1.46,4.4,90,"The company culture is amazing, it feels like a big family."
E047,2020-01-01,Sales,1.58,2.0,39,I feel underpaid considering the amount of work I'm doing.
E033,2020-01-01,Finance,1.38,2.8,55,The flexible working hours have greatly improved my work-life balance.
E073,2020-01-01,Sales,1.58,4.1,77,I'm excited about the new projects that will help me grow professionally.
E016,2020-01-01,Sales,1.88,3.7,79,"Sometimes I feel micromanaged, which can be frustrating."
E098,2020-01-01,Sales,1.4,1.4,33,The team-building activities have really helped to boost company culture.
E065,2020-01-01,Engineering,1.5,1.9,41,"The compensation package is great, but could be better."
E030,2020-01-01,Finance,1.38,2.0,40,"I love the fact that I can work from home when needed, great work-life balance."
E048,2020-01-01,HR,1.75,4.9,93,Career growth opportunities are limited in my current role.
E055,2020-01-01,HR,1.62,1.8,37,My manager is always available to discuss any issues or concerns.
E066,2020-01-01,Engineering,1.59,2.8,59,The company culture can be improved by having more open communication.
E076,2020-01-01,Operations,1.37,4.4,86,"I'm happy with my salary, but benefits could be improved."
E095,2020-01-01,Marketing,1.59,2.9,57,"The company prioritizes work-life balance, which is great."
E009,2020-01-01,Sales,1.74,1.6,29,"There's a lack of transparency in decision-making, which can be frustrating."
E011,2020-01-01,Operations,1.87,3.1,61,"I've learned so much since joining the company, great career growth."
E062,2020-01-01,Operations,1.91,3.4,63,"The office environment is great, it's comfortable and convenient."
E007,2020-01-01,Engineering,2.0,1.0,17,I wish there were more opportunities for professional development.
E017,2020-01-01,HR,1.67,4.7,95,The flexible hours have greatly improved my work-life balance.
E053,2020-01-01,Finance,1.78,2.4,52,I feel my career growth is stagnant due to limited training opportunities.
E087,2020-01-01,Engineering,1.67,2.9,57,Management communicates decisions clearly and supports the team.
E025,2020-01-01,Finance,1.92,4.1,77,"The office culture feels inclusive, but occasional cliques persist."
E081,2020-01-01,Finance,1.48,3.6,73,"Recent salary adjustments were below market rates, causing concern."
E063,2020-01-01,HR,1.8,3.1,61,Heavy workload during peak season is affecting my personal time.
E020,2020-01-01,Marketing,1.38,2.2,45,I appreciate the mentorship program that accelerates my professional development.
E067,2020-01-01,Sales,1.86,4.7,90,There is a lack of transparency from leadership about strategic goals.
E069,2020-01-01,Sales,1.37,4.2,85,Team events foster a positive culture and boost morale.
E089,2020-01-01,Sales,1.59,4.8,94,"Compensation packages are competitive, especially the bonus structure."
E092,2020-01-01,Marketing,1.87,2.2,39,Frequent after-hours emails make it hard to disconnect.
E014,2020-01-01,Operations,1.43,3.3,71,Opportunities for promotion are clear and based on merit.
E019,2020-01-01,Finance,1.65,1.3,25,Management often overlooks employee feedback in decision making.
E070,2020-01-01,HR,1.41,5.0,100,The collaborative environment encourages knowledge sharing.
E057,2020-01-01,Sales,1.68,2.3,47,Salary increments have been inconsistent across departments.
E072,2020-01-01,HR,1.74,2.7,54,Remote work options have helped maintain a healthy work-life balance.
E082,2020-01-01,Engineering,1.71,2.7,59,Career advancement pathways are unclear and need better outlining.
E083,2020-01-01,HR,1.64,2.0,42,Leadership recognizes and rewards high performers regularly.
E013,2020-01-01,Finance,1.57,2.8,54,The company culture prioritizes work over personal well-being.
E059,2020-01-01,Engineering,1.34,2.9,63,"Benefits are generous, but the health plan could be more comprehensive."
E061,2020-01-01,Operations,1.92,3.7,73,The recent shift to a four-day workweek has improved my overall work-life balance.
E034,2020-01-01,Engineering,1.57,2.0,38,I appreciate the mentorship program; it's clear the company is invested in my career growth.
E031,2020-01-01,Sales,1.49,1.3,30,Management's decision to cut the budget without consulting the team left many of us feeling undervalued.
E037,2020-01-01,Finance,1.92,4.0,78,The open-door policy at this company has fostered a strong sense of trust and collaboration.
E096,2020-01-01,Finance,1.5,3.9,80,I feel my salary is below the market rate for my role and responsibilities.
E079,2020-01-01,Sales,1.75,5.0,100,Flexible working hours have helped me manage my personal commitments more effectively.
E018,2020-01-01,Sales,1.38,2.4,52,"The quarterly performance reviews are thorough, but the feedback often feels vague and hard to act on."
E036,2020-01-01,Finance,1.67,2.2,39,I love how diverse and inclusive our workplace culture is; it makes every day enjoyable.
E052,2020-01-01,Sales,1.98,3.8,71,"The bonus structure is unclear, making it difficult to understand how to achieve higher payouts."
E008,2020-01-01,Marketing,1.46,4.2,82,The team-building retreats have genuinely strengthened our cross-department relationships.
E038,2020-01-01,Sales,1.56,4.2,83,I’m concerned that the workload keeps increasing with no additional support or resources.
E006,2020-01-01,Engineering,1.76,4.0,80,The professional development stipend has allowed me to attend a conference that expanded my skill set.
E050,2020-01-01,Finance,1.74,1.5,34,The lack of communication from senior leaders has led to uncertainty about upcoming projects.
E056,2020-01-01,Finance,1.89,4.1,77,"Our office environment encourages collaboration and creativity, which keeps me motivated."
E080,2020-01-01,HR,1.53,2.9,60,I would like to see a more transparent compensation review process to align with my performance.
E003,2020-01-01,Engineering,1.5,1.0,22,The company’s commitment to mental health resources has made a noticeable difference in employee well-being.
E078,2020-01-01,Sales,1.33,2.5,53,The recent restructuring has caused confusion and a sense of instability among the staff.
E099,2020-01-01,Engineering,1.42,4.0,80,I appreciate the recognition program; being acknowledged for my contributions boosts morale.
E026,2020-01-01,HR,1.59,1.5,31,"The benefits package is comprehensive, but the health insurance options could be more competitive."
E090,2020-01-01,Sales,1.6,2.7,51,I'm grateful for the opportunities I've had for career growth here.
E045,2020-01-01,Finance,1.76,1.7,39,Management has been very supportive of my ideas and initiatives.
E022,2020-01-01,Operations,1.67,1.2,21,I feel underpaid compared to the value I bring to the company.
E084,2020-01-01,Sales,1.82,5.0,98,The new flexible hours policy has greatly improved my work-life balance.
E015,2020-01-01,Marketing,1.75,2.2,44,"I've learned so much from my colleagues, it's a great team to be part of."
E051,2020-01-01,Sales,1.86,3.8,78,There's a lack of transparency in communication from upper management.
E064,2020-01-01,Operations,1.53,2.0,42,The company's mission and values truly resonate with me.
E071,2020-01-01,Marketing,1.95,2.4,46,Career advancement opportunities are limited in my current role.
E093,2020-01-01,HR,1.57,3.1,59,The office environment is comfortable and conducive to productivity.
E023,2020-01-01,Operations,1.88,3.8,72,I think the company could do more to recognize and reward employees' achievements.
E088,2020-01-01,Operations,1.44,4.4,88,I've been able to achieve a great balance between work and personal life.
E021,2020-01-01,Engineering,1.78,3.4,67,The pay scale is not competitive with other companies in the industry.
E043,2020-01-01,Sales,1.95,4.2,81,I appreciate the autonomy I've been given to make decisions in my role.
E085,2020-01-01,Operations,1.34,2.8,55,"Sometimes I feel like I'm just a cog in a machine, not a valued employee."
E024,2020-01-01,Operations,1.97,5.0,100,"The company prioritizes employee well-being, which is really important to me."
E068,2020-01-01,Marketing,1.94,3.8,76,I wish there were more opportunities for professional development and training.
E039,2020-01-01,Sales,1.88,3.5,73,The team I work with is very collaborative and helpful.
E060,2020-01-01,Sales,1.46,4.3,86,I feel there are limited opportunities for promotion within the company.
E074,2020-01-01,Marketing,1.75,4.0,76,Management communicates clearly and supports our team goals.
E004,2020-01-01,HR,1.85,3.3,66,The recent salary adjustments were disappointing and below market rates.
E086,2020-01-01,Operations,1.62,1.2,21,Our office culture fosters collaboration and inclusivity.
E005,2020-01-01,Engineering,1.63,1.3,22,Workload spikes during project deadlines make it hard to maintain personal time.
E101,2020-01-01,Engineering,0.68,3.0,64,I appreciate the mentorship programs that aid my career growth.
E102,2020-01-01,Operations,0.54,3.5,73,There is a lack of transparency from leadership on strategic decisions.
E103,2020-01-01,Finance,0.4,2.6,48,The benefits package is competitive and meets my family’s needs.
E104,2020-01-01,Engineering,0.9,4.2,86,"Team meetings often run over time, affecting my ability to finish tasks."
E105,2020-01-01,HR,0.47,3.3,65,The company's commitment to diversity makes me proud to work here.
E106,2020-01-01,Engineering,0.31,2.7,55,I would like more structured feedback to help advance my skills.
E107,2020-01-01,Sales,0.9,4.0,76,Compensation has remained stagnant despite increased responsibilities.
E108,2020-01-01,Operations,0.36,2.9,59,The manager’s open-door policy encourages honest dialogue.
E109,2020-01-01,Engineering,0.75,3.2,67,Remote work options have positively impacted my overall satisfaction.
E110,2020-01-01,Finance,0.34,2.2,40,"Career progression paths are unclear, causing uncertainty about the future."
E111,2020-01-01,Engineering,0.34,2.9,59,The workplace environment feels supportive and motivating.
E112,2020-01-01,Engineering,0.99,4.4,84,Frequent last‑minute changes in project scope create stress.
E113,2020-01-01,Engineering,0.85,3.8,72,Recognition for good performance is timely and appreciated.
E114,2020-01-01,Sales,0.57,3.2,61,The current bonus structure does not reflect the effort put in.
E115,2020-01-01,Sales,0.63,3.2,65,I appreciate the flexible working hours that allow me to manage personal commitments.
E116,2020-01-01,Marketing,0.67,3.8,72,The recent increase in overtime has made it hard to maintain a healthy work-life balance.
E117,2020-01-01,Marketing,0.85,3.5,69,The company provides optional wellness programs but I haven't utilized them yet.
E118,2020-01-01,Engineering,0.72,3.6,75,The mentorship program has accelerated my skill development.
E119,2020-01-01,HR,0.63,3.0,58,I feel there's a lack of clear career progression paths within the team.
E120,2020-01-01,Engineering,0.61,3.7,71,"I have access to some training resources, but I'm uncertain about their relevance."
E110,2021-01-01,Finance,1.34,2.1,45,My manager regularly checks in and provides constructive feedback.
E037,2021-01-01,Finance,2.92,3.7,71,Decision-making often feels top-down with little input from the team.
E085,2021-01-01,Operations,2.34,2.5,55,"Management schedules weekly meetings, but they rarely address employee concerns."
E035,2021-01-01,Engineering,2.95,1.0,16,The inclusive culture encourages diverse perspectives.
E092,2021-01-01,Marketing,2.87,1.9,37,The office environment feels competitive and discourages collaboration.
E067,2021-01-01,Sales,2.86,4.9,100,The cultural values are stated but not consistently practiced.
E051,2021-01-01,Sales,2.86,3.4,70,The salary adjustments are fair and reflect my contributions.
E070,2021-01-01,HR,2.41,4.7,92,The bonus structure seems inconsistent and unclear.
E113,2021-01-01,Engineering,1.85,4.0,82,I understand the compensation package but would like more transparency.
E061,2021-01-01,Operations,2.92,3.7,71,"I enjoy the open-door policy, which makes communication smooth."
E093,2021-01-01,HR,2.57,3.1,66,I often feel my ideas are overlooked during planning sessions.
E014,2021-01-01,Operations,2.43,3.0,58,The workload distribution has become more balanced since the new project.
E118,2021-01-01,Engineering,1.72,3.9,76,I wish there were more opportunities for cross-functional collaboration.
E082,2021-01-01,Engineering,2.71,2.8,59,"The leadership team communicates company goals effectively, boosting motivation."
E008,2021-01-01,Marketing,2.46,3.7,76,I'm really happy with the career growth opportunities provided by the company.
E064,2021-01-01,Operations,2.53,2.0,44,Management is very supportive and understanding of our needs.
E096,2021-01-01,Finance,2.5,3.9,78,"The company culture is great, everyone is friendly and helpful."
E084,2021-01-01,Sales,2.82,5.0,97,I feel underpaid compared to the industry standard for my role.
E053,2021-01-01,Finance,2.78,2.9,63,"The work life balance here is amazing, I have a lot of flexibility."
E066,2021-01-01,Engineering,2.59,2.7,55,"I've learned so much from my colleagues, career growth is excellent."
E063,2021-01-01,HR,2.8,3.0,65,"Sometimes I feel micromanaged by my manager, it's frustrating."
E011,2021-01-01,Operations,2.87,3.5,73,The culture of innovation and experimentation is really inspiring.
E105,2021-01-01,HR,1.47,3.3,64,I wish we had more opportunities for professional development.
E074,2021-01-01,Marketing,2.75,4.4,92,"My manager is great, very approachable and supportive."
E047,2021-01-01,Sales,2.58,1.7,32,"I'm not sure about the future of the company, it's a bit uncertain."
E018,2021-01-01,Sales,2.38,2.4,50,"The compensation package is very competitive, I'm happy with it."
E062,2021-01-01,Operations,2.91,3.7,77,"I love the company culture, it's very collaborative and dynamic."
E031,2021-01-01,Sales,2.49,1.7,38,"There's a lot of bureaucracy, it can be hard to get things done."
E043,2021-01-01,Sales,2.95,3.9,73,"I've had great opportunities for career advancement, I'm grateful."
E020,2021-01-01,Marketing,2.38,2.2,47,Sometimes I feel like I'm not being utilized to my full potential.
E045,2021-01-01,Finance,2.76,1.9,33,"The company prioritizes work life balance, it's really important to them."
E098,2021-01-01,Sales,2.4,1.3,26,I'm a bit disappointed with the lack of transparency in management decisions.
E114,2021-01-01,Sales,1.57,3.0,58,The culture of feedback and continuous improvement is really valuable.
E099,2021-01-01,Engineering,2.42,3.8,72,Flexible scheduling has greatly improved my work-life balance.
E116,2021-01-01,Marketing,1.67,4.0,75,Increasing overtime expectations are hurting my personal time.
E073,2021-01-01,Sales,2.58,4.4,92,The current remote work policy is adequate but could use more clarity.
E003,2021-01-01,Engineering,2.5,1.1,21,The mentorship program has accelerated my professional development.
E072,2021-01-01,HR,2.74,2.9,55,Limited promotion opportunities make it hard to envision a long-term future here.
E080,2021-01-01,HR,2.53,3.1,65,"Training sessions are offered regularly, though attendance is optional."
E076,2021-01-01,Operations,2.37,4.1,84,My manager provides clear guidance and constructive feedback.
E004,2021-01-01,HR,2.85,3.8,78,Inconsistent communication from leadership creates confusion.
E069,2021-01-01,Sales,2.37,4.4,88,"Team meetings are held weekly, but agendas are sometimes vague."
E007,2021-01-01,Engineering,3.0,1.0,18,The inclusive culture makes me feel valued and respected.
E009,2021-01-01,Sales,2.74,1.1,23,There is a noticeable lack of diversity in senior positions.
E087,2021-01-01,Engineering,2.67,2.8,57,"Company events are fun, though attendance is not mandatory."
E106,2021-01-01,Engineering,1.31,2.4,44,The recent salary adjustments reflect market rates well.
E019,2021-01-01,Finance,2.65,1.1,21,"Bonuses have been cut this year, affecting morale."
E021,2021-01-01,Engineering,2.78,3.3,71,Benefits package is standard compared to industry peers.
E005,2021-01-01,Engineering,2.63,1.5,26,The option to work from home two days a week helps me manage family commitments.
E101,2021-01-01,Engineering,1.68,3.3,71,"Feedback on performance reviews is vague, hindering growth."
E056,2021-01-01,Finance,2.89,3.7,70,Leadership actively solicits employee input for decision making.
E103,2021-01-01,Finance,1.4,2.2,41,Office politics sometimes undermine collaborative efforts.
E050,2021-01-01,Finance,2.74,1.5,28,"The payroll system is reliable, though there is limited flexibility in pay frequency."
E090,2021-01-01,Sales,2.6,2.2,46,The recent flexible scheduling has greatly improved my work-life balance.
E034,2021-01-01,Engineering,2.57,1.7,39,"I feel the workload keeps increasing without any support, making it hard to maintain a healthy work-life balance."
E102,2021-01-01,Operations,1.54,3.3,65,"I appreciate the new wellness program, but it hasn't had a noticeable impact on my daily routine."
E023,2021-01-01,Operations,2.88,3.4,68,The mentorship program has opened up clear pathways for career growth.
E033,2021-01-01,Finance,2.38,3.1,58,"I don't see any opportunities for advancement, which is discouraging for my career growth."
E026,2021-01-01,HR,2.59,1.8,38,"Career development workshops are available, but attendance is low."
E108,2021-01-01,Operations,1.36,2.7,55,"Management has been transparent about company goals, which boosts my confidence."
E006,2021-01-01,Engineering,2.76,4.3,82,The management style feels top-down and doesn't encourage employee input.
E079,2021-01-01,Sales,2.75,4.9,95,"Management meetings are scheduled, but they often run over time."
E112,2021-01-01,Engineering,1.99,4.5,91,The team culture is inclusive and encourages collaboration.
E107,2021-01-01,Sales,1.9,3.8,77,I feel the culture is competitive to the point where collaboration is stifled.
E059,2021-01-01,Engineering,2.34,2.5,53,"The workplace culture is fine, but there could be more team-building events."
E115,2021-01-01,Sales,1.63,3.7,75,The new compensation package reflects our hard work and keeps us motivated.
E089,2021-01-01,Sales,2.59,4.9,100,"The compensation hasn't kept pace with market rates, which is disheartening."
E117,2021-01-01,Marketing,1.85,3.7,77,"Compensation discussions happen annually, but no adjustments are made."
E060,2021-01-01,Sales,2.46,4.3,84,I enjoy the balance between challenging projects and supportive supervision.
E095,2021-01-01,Marketing,2.59,2.5,54,"The workload is overwhelming, and management rarely provides relief."
E057,2021-01-01,Sales,2.68,2.5,54,"Work-life balance is acceptable, though there is room for improvement."
E071,2021-01-01,Marketing,2.95,2.4,47,Career growth opportunities are clearly communicated during reviews.
E030,2021-01-01,Finance,2.38,2.4,50,The lack of recognition for extra hours makes me feel undervalued.
E119,2021-01-01,HR,1.63,2.7,53,I'm really happy with the opportunities for career growth here.
E052,2021-01-01,Sales,2.98,3.3,63,"The work life balance is great, I have enough time for my personal life."
E013,2021-01-01,Finance,2.57,2.3,43,"I've learned so much in the past year, career growth is a priority here."
E032,2021-01-01,Operations,2.79,2.4,43,"Sometimes I feel micromanaged by my supervisor, it's frustrating."
E109,2021-01-01,Engineering,1.75,3.3,68,The team outings and social events are a great way to bond with colleagues.
E027,2021-01-01,Operations,2.46,4.3,81,"My salary is very competitive, I'm happy with the compensation package."
E025,2021-01-01,Finance,2.92,3.6,71,"There's a lot of red tape and bureaucracy in the company, it slows us down."
E101,2021-01-01,Engineering,2.68,2.9,60,"I love the flexible working hours, it really helps with my work life balance."
E102,2021-01-01,Operations,2.54,3.2,64,"I've had some great mentors and role models in the company, they've helped me grow."
E103,2021-01-01,Finance,2.4,2.0,43,The company values and mission are really inspiring and motivating.
E104,2021-01-01,Engineering,1.9,4.2,84,"The communication between teams is great, we all work well together."
E105,2021-01-01,HR,2.47,3.8,78,I'm not happy with the lack of transparency in decision making processes.
E106,2021-01-01,Engineering,2.31,2.0,45,"The company is very inclusive and diverse, I feel welcome and valued."
E107,2021-01-01,Sales,2.9,4.2,88,I think the performance reviews and feedback process could be improved.
E108,2021-01-01,Operations,2.36,2.6,53,Flexible remote options have greatly improved my work-life balance.
E109,2021-01-01,Engineering,2.75,2.9,62,The recent increase in overtime is making it hard to maintain a healthy personal life.
E110,2021-01-01,Finance,2.34,2.5,50,"Current scheduling is consistent, though additional flexibility would be appreciated."
E111,2021-01-01,Engineering,1.34,2.4,46,I appreciate the clear path for promotion and the mentorship programs available.
E112,2021-01-01,Engineering,2.99,4.3,87,Opportunities for advancement feel limited given the flat organizational structure.
E113,2021-01-01,Engineering,2.85,3.6,70,"The training workshops are helpful, but more hands‑on projects would aid growth."
E114,2021-01-01,Sales,2.57,2.5,52,Management communicates goals clearly and supports team collaboration.
E115,2021-01-01,Sales,2.63,3.5,72,"Decision‑making often feels top‑down, leaving little room for employee input."
E116,2021-01-01,Marketing,2.67,4.5,95,Regular check‑ins with my manager have helped keep projects on track.
E117,2021-01-01,Marketing,2.85,3.2,64,The company culture is inclusive and encourages diverse perspectives.
E118,2021-01-01,Engineering,2.72,4.3,85,Occasional cliques make it difficult for new hires to feel fully integrated.
